cliente_id,sector_industrial,antiguedad_meses,licencias_contratadas,tipo_soporte,metodo_pago,churn
CLI-0081,Fintech & Banca,9,50,Premium,Tarjeta de Crédito,0
CLI-0082,Salud & Pharma,31,11,Premium,Transferencia Bancaria (ACH),0
CLI-0083,Salud & Pharma,13,23,Básico,PayPal Business,1
CLI-0084,Educación / EdTech,19,15,Premium,PayPal Business,0
CLI-0085,Salud & Pharma,33,8,Básico,PayPal Business,0
CLI-0086,Entretenimiento & Medios,15,5,Básico,Tarjeta de Crédito,1
CLI-0087,Fintech & Banca,11,18,Básico,PayPal Business,0
CLI-0088,Salud & Pharma,3,17,Básico,Tarjeta de Crédito,1
CLI-0089,Fintech & Banca,27,29,Básico,Tarjeta de Crédito,0
CLI-0090,Entretenimiento & Medios,23,12,Básico,PayPal Business,1
CLI-0091,Educación / EdTech,16,29,Básico,PayPal Business,0
CLI-0092,Logística y Distribución,21,26,Premium,Tarjeta de Crédito,0
CLI-0093,Salud & Pharma,13,21,Básico,Transferencia Bancaria (ACH),0
CLI-0094,Salud & Pharma,11,11,Básico,Tarjeta de Crédito,1
CLI-0095,Logística y Distribución,3,10,Básico,Transferencia Bancaria (ACH),1
CLI-0096,Entretenimiento & Medios,5,24,Básico,Transferencia Bancaria (ACH),1
CLI-0097,Educación / EdTech,14,20,Básico,PayPal Business,0
CLI-0098,Manufactura Avanzada,46,55,Premium,PayPal Business,0
CLI-0099,Fintech & Banca,14,24,Básico,Tarjeta de Crédito,0
CLI-0100,Logística y Distribución,9,26,Premium,PayPal Business,0
CLI-0101,Logística y Distribución,3,13,Básico,PayPal Business,1
CLI-0102,Logística y Distribución,12,26,Básico,PayPal Business,0
CLI-0103,Entretenimiento & Medios,5,5,Básico,PayPal Business,1
CLI-0104,Manufactura Avanzada,17,24,Básico,Tarjeta de Crédito,0
CLI-0105,Logística y Distribución,9,15,Premium,PayPal Business,0
CLI-0106,Entretenimiento & Medios,18,29,Básico,Tarjeta de Crédito,0
CLI-0107,Manufactura Avanzada,4,37,Básico,Tarjeta de Crédito,0
CLI-0108,Logística y Distribución,42,15,Básico,PayPal Business,1
CLI-0109,Educación / EdTech,9,11,Básico,PayPal Business,0
CLI-0110,Retail y Comercio,42,27,Básico,Transferencia Bancaria (ACH),0
CLI-0111,Educación / EdTech,48,12,Básico,Transferencia Bancaria (ACH),0
CLI-0112,Salud & Pharma,29,16,Básico,Tarjeta de Crédito,0
CLI-0113,Retail y Comercio,26,11,Premium,Transferencia Bancaria (ACH),0
CLI-0114,Entretenimiento & Medios,16,12,Premium,Tarjeta de Crédito,1
CLI-0115,Manufactura Avanzada,21,32,Básico,PayPal Business,0
CLI-0116,Logística y Distribución,22,20,Premium,PayPal Business,0
CLI-0117,Retail y Comercio,48,5,Premium,Tarjeta de Crédito,0
CLI-0118,Logística y Distribución,8,7,Premium,Tarjeta de Crédito,0
CLI-0119,Fintech & Banca,30,58,Premium,Transferencia Bancaria (ACH),0
CLI-0120,Educación / EdTech,4,12,Premium,Transferencia Bancaria (ACH),0
CLI-0121,Entretenimiento & Medios,12,11,Premium,PayPal Business,0
CLI-0122,Educación / EdTech,9,20,Básico,PayPal Business,0
CLI-0123,Educación / EdTech,36,13,Premium,Tarjeta de Crédito,0
CLI-0124,Fintech & Banca,45,32,Básico,Transferencia Bancaria (ACH),1
CLI-0125,Logística y Distribución,16,5,Básico,PayPal Business,0
CLI-0126,Retail y Comercio,18,12,Premium,Transferencia Bancaria (ACH),0
CLI-0127,Educación / EdTech,24,10,Básico,Transferencia Bancaria (ACH),0
CLI-0128,Educación / EdTech,11,14,Premium,Transferencia Bancaria (ACH),0
CLI-0129,Retail y Comercio,9,18,Básico,Tarjeta de Crédito,1
CLI-0130,Salud & Pharma,4,23,Premium,Transferencia Bancaria (ACH),1
CLI-0131,Retail y Comercio,4,18,Básico,Tarjeta de Crédito,0
CLI-0132,Retail y Comercio,4,20,Premium,Tarjeta de Crédito,0
CLI-0133,Manufactura Avanzada,9,53,Premium,PayPal Business,0
CLI-0134,Logística y Distribución,48,12,Premium,Tarjeta de Crédito,0
CLI-0135,Educación / EdTech,9,5,Premium,Tarjeta de Crédito,0
CLI-0136,Entretenimiento & Medios,4,24,Básico,Transferencia Bancaria (ACH),0
CLI-0137,Fintech & Banca,3,31,Básico,Transferencia Bancaria (ACH),1
CLI-0138,Retail y Comercio,4,14,Básico,Transferencia Bancaria (ACH),0
CLI-0139,Entretenimiento & Medios,22,17,Básico,Tarjeta de Crédito,0
CLI-0140,Fintech & Banca,7,41,Premium,PayPal Business,0
CLI-0141,Logística y Distribución,6,15,Premium,Transferencia Bancaria (ACH),0
CLI-0142,Entretenimiento & Medios,4,20,Básico,Transferencia Bancaria (ACH),0
CLI-0143,Educación / EdTech,48,28,Premium,Tarjeta de Crédito,0
CLI-0144,Fintech & Banca,11,44,Básico,Tarjeta de Crédito,0
CLI-0145,Entretenimiento & Medios,15,14,Básico,Tarjeta de Crédito,0
CLI-0146,Logística y Distribución,7,20,Básico,Tarjeta de Crédito,0
CLI-0147,Retail y Comercio,11,21,Básico,Transferencia Bancaria (ACH),0
CLI-0148,Entretenimiento & Medios,48,5,Premium,PayPal Business,0
CLI-0149,Retail y Comercio,19,5,Premium,Tarjeta de Crédito,0
CLI-0150,Logística y Distribución,19,17,Básico,Transferencia Bancaria (ACH),0
CLI-0151,Entretenimiento & Medios,36,19,Básico,Transferencia Bancaria (ACH),0
CLI-0152,Entretenimiento & Medios,40,23,Premium,Transferencia Bancaria (ACH),0
CLI-0153,Entretenimiento & Medios,3,14,Premium,Tarjeta de Crédito,1
CLI-0154,Educación / EdTech,48,13,Básico,Tarjeta de Crédito,0
CLI-0155,Retail y Comercio,15,17,Premium,Tarjeta de Crédito,0
CLI-0156,Retail y Comercio,28,14,Básico,Transferencia Bancaria (ACH),0
CLI-0157,Salud & Pharma,10,14,Premium,PayPal Business,0
CLI-0158,Manufactura Avanzada,26,39,Premium,Transferencia Bancaria (ACH),0
CLI-0159,Logística y Distribución,48,24,Premium,Transferencia Bancaria (ACH),0
CLI-0160,Retail y Comercio,29,16,Básico,Tarjeta de Crédito,1
CLI-0161,Salud & Pharma,11,6,Premium,Transferencia Bancaria (ACH),0
CLI-0162,Retail y Comercio,16,18,Básico,Transferencia Bancaria (ACH),0
CLI-0163,Manufactura Avanzada,4,42,Premium,Tarjeta de Crédito,0
CLI-0164,Manufactura Avanzada,13,64,Premium,Tarjeta de Crédito,0
CLI-0165,Educación / EdTech,14,21,Básico,Transferencia Bancaria (ACH),1
CLI-0166,Entretenimiento & Medios,5,15,Básico,PayPal Business,0
CLI-0167,Educación / EdTech,22,23,Básico,PayPal Business,0
CLI-0168,Retail y Comercio,5,20,Básico,Transferencia Bancaria (ACH),1
CLI-0169,Educación / EdTech,9,5,Básico,Transferencia Bancaria (ACH),0
CLI-0170,Educación / EdTech,35,23,Básico,Tarjeta de Crédito,0
CLI-0171,Retail y Comercio,13,12,Básico,PayPal Business,0
CLI-0172,Salud & Pharma,30,23,Premium,Transferencia Bancaria (ACH),0
CLI-0173,Retail y Comercio,5,14,Básico,PayPal Business,1
CLI-0174,Salud & Pharma,11,19,Premium,PayPal Business,0
CLI-0175,Educación / EdTech,12,21,Básico,PayPal Business,0
CLI-0176,Manufactura Avanzada,4,22,Básico,PayPal Business,1
CLI-0177,Manufactura Avanzada,4,26,Básico,Tarjeta de Crédito,1
CLI-0178,Fintech & Banca,34,45,Básico,Transferencia Bancaria (ACH),0
CLI-0179,Manufactura Avanzada,18,34,Básico,PayPal Business,0
CLI-0180,Salud & Pharma,5,12,Básico,Transferencia Bancaria (ACH),0
CLI-0181,Manufactura Avanzada,5,22,Básico,Transferencia Bancaria (ACH),0
CLI-0182,Entretenimiento & Medios,12,13,Premium,PayPal Business,0
CLI-0183,Logística y Distribución,3,18,Básico,Transferencia Bancaria (ACH),0
CLI-0184,Educación / EdTech,31,22,Premium,PayPal Business,0
CLI-0185,Entretenimiento & Medios,3,20,Premium,Tarjeta de Crédito,0
CLI-0186,Fintech & Banca,5,32,Básico,Tarjeta de Crédito,1
CLI-0187,Logística y Distribución,9,29,Básico,Tarjeta de Crédito,0
CLI-0188,Manufactura Avanzada,11,36,Premium,Tarjeta de Crédito,0
CLI-0189,Educación / EdTech,3,20,Premium,PayPal Business,1
CLI-0190,Educación / EdTech,13,9,Básico,Transferencia Bancaria (ACH),0
CLI-0191,Fintech & Banca,4,58,Básico,Tarjeta de Crédito,0
CLI-0192,Logística y Distribución,7,5,Básico,Tarjeta de Crédito,0
CLI-0193,Fintech & Banca,3,27,Básico,Tarjeta de Crédito,0
CLI-0194,Educación / EdTech,4,11,Premium,PayPal Business,0
CLI-0195,Manufactura Avanzada,15,52,Básico,Tarjeta de Crédito,0
CLI-0196,Logística y Distribución,4,18,Básico,Transferencia Bancaria (ACH),1
CLI-0197,Salud & Pharma,15,12,Básico,PayPal Business,0
CLI-0198,Manufactura Avanzada,7,58,Básico,PayPal Business,0
CLI-0199,Entretenimiento & Medios,17,5,Premium,Transferencia Bancaria (ACH),0
CLI-0200,Educación / EdTech,16,20,Básico,PayPal Business,0
CLI-0201,Manufactura Avanzada,4,34,Básico,Transferencia Bancaria (ACH),0
CLI-0202,Educación / EdTech,5,11,Básico,Transferencia Bancaria (ACH),0
CLI-0203,Entretenimiento & Medios,5,5,Premium,Tarjeta de Crédito,0
CLI-0204,Retail y Comercio,4,19,Básico,PayPal Business,0
CLI-0205,Fintech & Banca,48,42,Básico,Transferencia Bancaria (ACH),0
CLI-0206,Educación / EdTech,5,16,Premium,Transferencia Bancaria (ACH),1
CLI-0207,Retail y Comercio,40,27,Básico,Transferencia Bancaria (ACH),0
CLI-0208,Logística y Distribución,23,24,Básico,Tarjeta de Crédito,1
CLI-0209,Salud & Pharma,8,16,Básico,PayPal Business,1
CLI-0210,Fintech & Banca,4,7,Básico,Tarjeta de Crédito,1
CLI-0211,Retail y Comercio,7,8,Básico,PayPal Business,0
CLI-0212,Logística y Distribución,13,16,Básico,Tarjeta de Crédito,0
CLI-0213,Salud & Pharma,8,11,Premium,PayPal Business,0
CLI-0214,Logística y Distribución,22,19,Básico,PayPal Business,0
CLI-0215,Logística y Distribución,11,5,Premium,Transferencia Bancaria (ACH),0
CLI-0216,Salud & Pharma,27,8,Premium,Transferencia Bancaria (ACH),0
CLI-0217,Educación / EdTech,4,16,Básico,PayPal Business,0
CLI-0218,Fintech & Banca,3,41,Premium,Transferencia Bancaria (ACH),1
CLI-0219,Salud & Pharma,14,14,Premium,Transferencia Bancaria (ACH),1
CLI-0220,Retail y Comercio,6,15,Básico,PayPal Business,0
CLI-0221,Salud & Pharma,5,18,Básico,PayPal Business,1
CLI-0222,Salud & Pharma,9,21,Premium,Tarjeta de Crédito,0
CLI-0223,Manufactura Avanzada,9,36,Básico,Tarjeta de Crédito,0
CLI-0224,Manufactura Avanzada,11,55,Básico,PayPal Business,0
CLI-0225,Logística y Distribución,22,5,Premium,PayPal Business,0
CLI-0226,Entretenimiento & Medios,9,15,Básico,Transferencia Bancaria (ACH),1
CLI-0227,Retail y Comercio,36,9,Premium,Transferencia Bancaria (ACH),0
CLI-0228,Salud & Pharma,16,16,Básico,Transferencia Bancaria (ACH),0
CLI-0229,Salud & Pharma,5,18,Básico,Transferencia Bancaria (ACH),0
CLI-0230,Entretenimiento & Medios,34,22,Premium,Transferencia Bancaria (ACH),0
CLI-0231,Logística y Distribución,5,8,Premium,Transferencia Bancaria (ACH),1
CLI-0232,Manufactura Avanzada,3,30,Básico,Tarjeta de Crédito,0
CLI-0233,Retail y Comercio,23,12,Premium,Tarjeta de Crédito,0
CLI-0234,Entretenimiento & Medios,4,19,Premium,PayPal Business,1
CLI-0235,Logística y Distribución,4,22,Básico,Tarjeta de Crédito,1
CLI-0236,Logística y Distribución,6,12,Premium,PayPal Business,0
CLI-0237,Fintech & Banca,20,56,Básico,Transferencia Bancaria (ACH),0
CLI-0238,Manufactura Avanzada,7,52,Básico,Tarjeta de Crédito,0
CLI-0239,Retail y Comercio,5,16,Básico,Transferencia Bancaria (ACH),1
CLI-0240,Manufactura Avanzada,11,50,Premium,PayPal Business,0
CLI-0241,Entretenimiento & Medios,5,16,Básico,Tarjeta de Crédito,0
CLI-0242,Logística y Distribución,3,30,Premium,PayPal Business,1
CLI-0243,Retail y Comercio,40,25,Premium,PayPal Business,0
CLI-0244,Salud & Pharma,20,18,Básico,Transferencia Bancaria (ACH),0
CLI-0245,Fintech & Banca,15,23,Premium,Tarjeta de Crédito,0
CLI-0246,Entretenimiento & Medios,41,26,Premium,PayPal Business,0
CLI-0247,Educación / EdTech,11,30,Básico,Transferencia Bancaria (ACH),0
CLI-0248,Manufactura Avanzada,3,46,Básico,Tarjeta de Crédito,0
CLI-0249,Manufactura Avanzada,25,50,Premium,Tarjeta de Crédito,0
CLI-0250,Salud & Pharma,8,5,Básico,PayPal Business,0
CLI-0251,Manufactura Avanzada,21,21,Básico,PayPal Business,0
CLI-0252,Entretenimiento & Medios,5,13,Básico,Transferencia Bancaria (ACH),0
CLI-0253,Logística y Distribución,12,19,Básico,Transferencia Bancaria (ACH),0
CLI-0254,Educación / EdTech,15,14,Básico,Transferencia Bancaria (ACH),0
CLI-0255,Salud & Pharma,3,8,Premium,Tarjeta de Crédito,0
CLI-0256,Educación / EdTech,5,18,Básico,Transferencia Bancaria (ACH),0
CLI-0257,Manufactura Avanzada,4,40,Básico,Transferencia Bancaria (ACH),0
CLI-0258,Entretenimiento & Medios,3,15,Premium,PayPal Business,0
CLI-0259,Retail y Comercio,6,14,Básico,Tarjeta de Crédito,0
CLI-0260,Logística y Distribución,3,15,Básico,Transferencia Bancaria (ACH),0
CLI-0261,Fintech & Banca,14,56,Básico,Transferencia Bancaria (ACH),0
CLI-0262,Educación / EdTech,10,5,Básico,Transferencia Bancaria (ACH),0
CLI-0263,Salud & Pharma,5,16,Premium,Transferencia Bancaria (ACH),1
CLI-0264,Fintech & Banca,9,36,Básico,Transferencia Bancaria (ACH),0
CLI-0265,Retail y Comercio,17,12,Básico,Transferencia Bancaria (ACH),0
CLI-0266,Educación / EdTech,20,14,Premium,Transferencia Bancaria (ACH),0
CLI-0267,Manufactura Avanzada,3,31,Premium,Tarjeta de Crédito,1
CLI-0268,Educación / EdTech,3,10,Básico,Transferencia Bancaria (ACH),0
CLI-0269,Entretenimiento & Medios,25,18,Básico,Tarjeta de Crédito,0
CLI-0270,Educación / EdTech,4,8,Básico,PayPal Business,1
CLI-0271,Entretenimiento & Medios,20,16,Básico,Tarjeta de Crédito,1
CLI-0272,Fintech & Banca,18,43,Básico,Transferencia Bancaria (ACH),0
CLI-0273,Retail y Comercio,7,5,Premium,PayPal Business,0
CLI-0274,Salud & Pharma,26,25,Básico,PayPal Business,0
CLI-0275,Salud & Pharma,7,22,Básico,PayPal Business,0
CLI-0276,Retail y Comercio,16,5,Básico,PayPal Business,0
CLI-0277,Retail y Comercio,14,5,Premium,Transferencia Bancaria (ACH),0
CLI-0278,Educación / EdTech,23,11,Básico,Tarjeta de Crédito,0
CLI-0279,Educación / EdTech,31,20,Premium,PayPal Business,0
CLI-0280,Educación / EdTech,10,14,Básico,Tarjeta de Crédito,1
CLI-0281,Educación / EdTech,7,27,Básico,Transferencia Bancaria (ACH),0
CLI-0282,Manufactura Avanzada,5,48,Premium,PayPal Business,0
CLI-0283,Logística y Distribución,48,7,Básico,Tarjeta de Crédito,1
CLI-0284,Retail y Comercio,3,15,Premium,Tarjeta de Crédito,0
CLI-0285,Educación / EdTech,4,5,Básico,PayPal Business,1
CLI-0286,Logística y Distribución,17,18,Premium,Tarjeta de Crédito,0
CLI-0287,Educación / EdTech,6,24,Premium,Tarjeta de Crédito,0
CLI-0288,Entretenimiento & Medios,5,24,Premium,Transferencia Bancaria (ACH),1
CLI-0289,Logística y Distribución,10,17,Básico,PayPal Business,0
CLI-0290,Salud & Pharma,5,5,Premium,Transferencia Bancaria (ACH),1
CLI-0291,Logística y Distribución,4,6,Básico,Transferencia Bancaria (ACH),0
CLI-0292,Salud & Pharma,7,18,Básico,Tarjeta de Crédito,0
CLI-0293,Salud & Pharma,20,18,Básico,Transferencia Bancaria (ACH),1
CLI-0294,Educación / EdTech,18,5,Premium,PayPal Business,1
CLI-0295,Fintech & Banca,21,47,Básico,PayPal Business,0
CLI-0296,Logística y Distribución,12,5,Básico,Tarjeta de Crédito,1
CLI-0297,Entretenimiento & Medios,8,12,Básico,Transferencia Bancaria (ACH),0
CLI-0298,Entretenimiento & Medios,21,16,Básico,PayPal Business,0
CLI-0299,Manufactura Avanzada,19,21,Premium,Transferencia Bancaria (ACH),0
CLI-0300,Salud & Pharma,25,12,Premium,Transferencia Bancaria (ACH),0
CLI-0301,Salud & Pharma,7,5,Básico,Transferencia Bancaria (ACH),0
CLI-0302,Logística y Distribución,37,21,Básico,PayPal Business,0
CLI-0303,Logística y Distribución,45,7,Básico,Tarjeta de Crédito,0
CLI-0304,Retail y Comercio,31,13,Premium,PayPal Business,0
CLI-0305,Fintech & Banca,25,55,Premium,Tarjeta de Crédito,0
CLI-0306,Fintech & Banca,7,52,Básico,Tarjeta de Crédito,0
CLI-0307,Educación / EdTech,6,19,Básico,PayPal Business,0
CLI-0308,Logística y Distribución,19,15,Básico,Tarjeta de Crédito,0
CLI-0309,Retail y Comercio,39,21,Premium,PayPal Business,0
CLI-0310,Logística y Distribución,8,14,Premium,PayPal Business,0
CLI-0311,Retail y Comercio,3,6,Básico,PayPal Business,0
CLI-0312,Entretenimiento & Medios,4,18,Premium,Tarjeta de Crédito,0
CLI-0313,Manufactura Avanzada,8,36,Básico,Tarjeta de Crédito,0
CLI-0314,Retail y Comercio,13,15,Premium,Tarjeta de Crédito,0
CLI-0315,Fintech & Banca,8,50,Básico,Transferencia Bancaria (ACH),0
CLI-0316,Entretenimiento & Medios,6,16,Básico,PayPal Business,0
CLI-0317,Salud & Pharma,31,19,Premium,Tarjeta de Crédito,0
CLI-0318,Retail y Comercio,48,15,Básico,PayPal Business,0
CLI-0319,Retail y Comercio,23,11,Básico,PayPal Business,0
CLI-0320,Salud & Pharma,31,5,Premium,Tarjeta de Crédito,0
CLI-0321,Salud & Pharma,23,5,Premium,PayPal Business,0
CLI-0322,Retail y Comercio,6,5,Básico,Tarjeta de Crédito,1
CLI-0323,Educación / EdTech,9,8,Básico,PayPal Business,0
CLI-0324,Logística y Distribución,3,8,Básico,PayPal Business,0
CLI-0325,Manufactura Avanzada,48,16,Premium,Tarjeta de Crédito,0
CLI-0326,Fintech & Banca,6,25,Premium,Transferencia Bancaria (ACH),0
CLI-0327,Salud & Pharma,24,14,Premium,Transferencia Bancaria (ACH),0
CLI-0328,Manufactura Avanzada,43,30,Básico,Transferencia Bancaria (ACH),0
CLI-0329,Salud & Pharma,16,22,Básico,Tarjeta de Crédito,0
CLI-0330,Salud & Pharma,6,24,Básico,Transferencia Bancaria (ACH),0
CLI-0331,Logística y Distribución,6,18,Básico,Tarjeta de Crédito,0
CLI-0332,Educación / EdTech,3,11,Premium,Transferencia Bancaria (ACH),1
CLI-0333,Salud & Pharma,33,12,Premium,PayPal Business,1
CLI-0334,Logística y Distribución,19,7,Básico,Transferencia Bancaria (ACH),1
CLI-0335,Logística y Distribución,26,10,Básico,Transferencia Bancaria (ACH),0
CLI-0336,Entretenimiento & Medios,15,10,Básico,Tarjeta de Crédito,0
CLI-0337,Manufactura Avanzada,4,35,Básico,Transferencia Bancaria (ACH),1
CLI-0338,Fintech & Banca,33,47,Premium,PayPal Business,0
CLI-0339,Entretenimiento & Medios,30,18,Básico,Transferencia Bancaria (ACH),0
CLI-0340,Entretenimiento & Medios,4,21,Básico,Tarjeta de Crédito,1
CLI-0341,Manufactura Avanzada,9,50,Básico,Tarjeta de Crédito,0
CLI-0342,Salud & Pharma,4,9,Básico,PayPal Business,1
CLI-0343,Logística y Distribución,19,5,Básico,PayPal Business,0
CLI-0344,Fintech & Banca,27,29,Básico,PayPal Business,1
CLI-0345,Manufactura Avanzada,18,20,Premium,Tarjeta de Crédito,0
CLI-0346,Logística y Distribución,25,17,Premium,Tarjeta de Crédito,0
CLI-0347,Logística y Distribución,29,17,Premium,Transferencia Bancaria (ACH),0
CLI-0348,Educación / EdTech,19,19,Premium,Tarjeta de Crédito,0
CLI-0349,Educación / EdTech,16,11,Premium,Transferencia Bancaria (ACH),0
CLI-0350,Retail y Comercio,31,17,Básico,Transferencia Bancaria (ACH),0
CLI-0351,Salud & Pharma,27,12,Premium,Tarjeta de Crédito,0
CLI-0352,Fintech & Banca,5,29,Premium,Transferencia Bancaria (ACH),1
CLI-0353,Manufactura Avanzada,27,37,Básico,PayPal Business,0
CLI-0354,Fintech & Banca,16,40,Premium,Tarjeta de Crédito,0
CLI-0355,Entretenimiento & Medios,16,19,Básico,Transferencia Bancaria (ACH),0
CLI-0356,Entretenimiento & Medios,24,6,Básico,PayPal Business,1
CLI-0357,Logística y Distribución,23,18,Básico,Transferencia Bancaria (ACH),0
CLI-0358,Entretenimiento & Medios,17,15,Premium,PayPal Business,0
CLI-0359,Educación / EdTech,4,16,Básico,Transferencia Bancaria (ACH),0
CLI-0360,Salud & Pharma,8,17,Premium,PayPal Business,0
CLI-0361,Retail y Comercio,3,5,Básico,PayPal Business,0
CLI-0362,Salud & Pharma,3,20,Premium,Transferencia Bancaria (ACH),0
CLI-0363,Entretenimiento & Medios,48,17,Básico,Tarjeta de Crédito,0
CLI-0364,Fintech & Banca,3,33,Básico,PayPal Business,1
CLI-0365,Entretenimiento & Medios,12,19,Básico,Transferencia Bancaria (ACH),1
